name,part,way,img,detail
방울토마토 소박이,반찬,기타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00031_1.png,"방울토마토 소박이
방울토마토 150g(5개), 양파 10g(3×1cm), 부추 10g(5줄기)
양념장
고춧가루 4g(1작은술), 멸치액젓 3g(2/3작은술), 다진 마늘 2.5g(1/2쪽), 매실액 2g(1/3작은술), 설탕 2g(1/3작은술), 물 2ml(1/3작은술), 통깨 약간"
순두부 사과 소스 오이무침,반찬,기타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00032_1.png,"오이무침
오이 70g(1/3개), 다진 땅콩 10g(1큰술)
순두부사과 소스
순두부 40g(1/8봉지), 사과 50g(1/3개)"
사과 새우 북엇국,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00033_1.png,"북엇국
북어채 25g(15개), 새우 10g(3마리), 사과 30g(1/5개), 양파 40g(1/4개),
표고버섯 20g(2장), 물 300ml(1½컵)"
사탕절편 떡국,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00034_1.png,"닭육수
닭 150g, 대파 15g(7cm), 마늘 10g(2쪽), 물 500ml(2½컵),
깨 10g(2작은술), 후추약간
사탕절편
멥쌀가루 400g(2컵), 녹차가루 3g(1작은술), 백련초 3g(1작은술), 단호박 가루 3g(1작은술)
고명
쇠고기 50g, 애호박 20g(2cm), 달걀 50g(1개), 식용유 5g(1작은술)
고기양념
간장 2g(1/3작은술), 참기름 5g(1작은술), 소금 약간"
두부 표고 완자탕,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00035_1.png,"멸치육수
양파 20g(1/6개), 멸치 15g(7마리), 다진 마늘 10g(2쪽), 파 10g(5cm),
간장 4g(1작은술), 식초 2g(1/3작은술), 물 300ml(1½컵)
두부완자
두부 90g(1/3모), 달걀 25g(1/2개), 표고버섯 10g(1장), 밀가루 10g(2작은술)
고명
표고버섯 10g(1장), 파 10g(5cm)"
저염 된장으로 맛을 낸 황태해장국,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00036_1.png,"황태해장국
황태(채) 15g(10개), 콩나물 30g(1/6봉지), 무 30g(5×3×2cm), 저염된장 10g(2작은술), 물 300ml(1½컵), 청양고추 5g(1/2개), 다진 마늘 2g(1/3작은술)"
된장국,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00037_1.png,"된장국
두부 20g(2×2×2cm), 애느타리버섯 20g(4가닥), 감자 10g(4×3×1cm), 양파 10g(2×1cm), 대파 10g(5cm), 된장 5g(1작은술), 물 300ml(1½컵)"
표고버섯 청경채국,국&찌개,끓이기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00038_1.png,"멸치육수
국물용 멸치 5g(3마리), 다시마 1장(5×1cm), 양파 10g(2×1cm), 표고버섯 기둥, 국간장 5g(1작은술), 물 300ml(1½컵)
채소준비
청경채 20g(1개), 표고버섯 20g(2장), 다진 마늘 2g(1/3작은술)"
치커리샐러드와 올리브 마늘 소스,반찬,기타,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00095_1.png,"치커리 샐러드
치커리 30g(10줄기), 적양배추 15g(5×3cm), 양파 10g(2×1cm), 당근 5g(3×1×1cm)
올리브마늘 드레싱
올리브유 10g(2작은술), 식초 5g(1작은술), 설탕 5g(1작은술), 마늘 5g(1쪽)"
구운가지 닭가슴살 샐러드와 들깨소스,반찬,굽기,http://www.foodsafetykorea.go.kr/uploadimg/cook/10_00086_1.png,"구운 가지 닭가슴살 샐러드
닭가슴살 100g, 가지 100g(2/3개), 잎채소 40g, 올리브유 30g(2큰술)
들깨 드레싱
플레인요거트 80g(1개), 양파 20g(1/6개), 레몬즙 20g(1⅓큰술), 꿀 30g(2큰술), 들깨가루 10g(2작은술"
